"","x"
"CAPS",6
"HP",6
"IGFBP7",6
"KRT14",6
"S100A2",6
"S100A8",6
"SCGB1A1",6
"SCGB3A1",6
"SFTPA2",6
"SLPI",6
"TFF3",6
"KRT17",5.88182519721979
"S100A9",5.82068619684393
"TGFBI",5.7358767142388
"CTGF",5.35799109489203
"KRT6A",5.24282437777579
"CD74",4.82429433732857
"KRT16",4.8027776819324
"EREG",4.66785000916009
"SAA1",4.56158538873457
"SFTPA1",4.55040513125402
"SPRR2D",4.38376916299118
"CXCL14",4.33827517983643
"LCN2",4.27746136343409
"NAPSA",4.11200184070907
"AREG",4.10516132826494
"CSF2",4.08278922897761
"PTTG1",4.07820682804984
"IFIT2",4.05130481719884
"CCL20",3.92942845882089
"GDF15",3.91313092085618
"SAA2",3.82715913090564
"KIAA0101",3.71071185519205
"UBE2C",3.59012552079193
"KRT6B",3.56692122282099
"MUC5B",3.49509520302539
"LTF",3.49167598909693
"CCL5",3.39007583691192
"ISG15",3.3791722702385
"MGP",3.33739490689086
"PIGR",3.32677159722827
"C9orf116",3.30536754034542
"IGFBP6",3.29589966913084
"HIST1H4C",3.25932226089805
"MT1X",3.22799575527854
"MT-CO3",3.22476226990619
"SNCG",3.22264138760879
"TOP2A",3.21964932292248
"CLU",3.20605654968507
"MT2A",3.1907851972605
"KRT7",3.16952281309206
"HIST1H1C",3.15671787357083
"MT-ND2",3.15104315583596
"TUBA1A",3.13706388890383
"TCN1",3.128740396983
"S100A4",3.10115517694426
"CYR61",3.04075226091607
"MT-CO2",2.99939605940499
"TUBA1B",2.98202154807251
"TNC",2.96864378290154
"MT-CYB",2.91857485989004
"TNFAIP2",2.9026725417404
"MT-ND4",2.89559001785667
"IFI27",2.88153558934983
"MT-ATP6",2.879284428409
"AQP1",2.86560682120389
"ODF3B",2.83664428937182
"TK1",2.82649406168222
"RSAD2",2.80852165978539
"LINC00922",2.80660957849622
"CXCL1",2.80365507532215
"WFDC2",2.7958379210812
"HMGB2",2.77450634589164
"CHI3L1",2.76818109492498
"MT-CO1",2.74508462789298
"SFTPB",2.74245850484567
"SLC44A4",2.73571550217572
"CXCL3",2.72892443387392
"IFIT1",2.72395255701006
"B2M",2.7222461921079
"AQP3",2.70921712447195
"G0S2",2.67705282971228
"S100A6",2.61355554507346
"SCD",2.61319001563113
"ID1",2.5898508640089
"NOX5",2.58828176038677
"FLNA",2.58446567154965
"PLAT",2.58174574782953
"HLA-DQA2",2.56954278188106
"CCNB1",2.55180690014135
"LTB",2.53060313650351
"HPGD",2.51584888487492
"BIRC5",2.51581709573323
"IDO1",2.51503692575459
"ITGB6",2.48163177386601
"STMN1",2.47405944451774
"ACTB",2.4530527558099
"IFI6",2.4513861620554
"NDRG1",2.44934275430382
"IFIT3",2.44692797103619
"PPP1R14D",2.43517673383593
"CD14",2.34101029585328
"PAEP",2.33900526857446
"MT-ND3",2.33882271298306
"IL6",2.3137432815832
"MALAT1",2.27503353827267
"HLA-DQA1",2.26410257511357
"IGFBP2",2.25497703734218
"SOD2",2.24394315559017
"CCL4L2",2.23562617734138
"CDKN3",2.22381121006242
"LRRK2",2.21640754068381
"MDK",2.19590506565797
"EDN1",2.19236113729577
"CP",2.18887172409663
"BIRC3",2.18791974972396
"FGF19",2.17381341235837
"SOX4",2.17310470181082
"TIMP3",2.17002288540429
"UBE2S",2.1691533987863
"KRT19",2.16795492905597
"H2AFZ",2.16602034126263
"FABP6",2.16564390537416
"AGR2",2.1403779536169
"TRIB3",2.13448384205679
"HMGA2",2.13435398096447
"CXCL8",2.13379160788378
"AGR3",2.12989133762264
"TUBB4B",2.12822016672621
"B4GALT1",2.12192725801688
"TSPAN8",2.11599864287806
"SERPINA1",2.1104654107057
"MKI67",2.10904821933883
"CDK1",2.10548222420362
"GBP4",2.09937754980308
"GAPDH",2.09672069825747
"C15orf48",2.09313876068868
"KRT15",2.07167205778244
"PLAC8",2.06297080094533
"CD24",2.06004208620088
"CRABP2",2.05857851441125
"ADM",2.05771465901251
"IL32",2.04938074025791
"MB",2.04454475827641
"NKG7",2.0439004156592
"WARS",2.04063354736129
"IGFBP3",2.00909272535809
"EFHD1",1.99845150772551
"NEAT1",1.99826483122018
"NNMT",1.9882507460019
"LOXL4",1.9844435017738
"MYL9",1.98296351541469
"RRAD",1.98223479078716
"HLA-A",1.97951459237111
"LDHB",1.97696434014936
"IGFBP4",1.96393026679583
"KPNA2",1.96193425487246
"HMGB3",1.95845237410214
"MT-ND1",1.95585527074738
"KRT18",1.94049760985418
"CA2",1.92978207136262
"TMC5",1.91285904299525
"CST6",1.91048704049109
"FGFBP1",1.90861392082812
"HLA-B",1.90837240534064
"HLA-DRB1",1.90545822512792
"RNASE1",1.90335248648929
"HLA-DPA1",1.89388215341028
"TNFSF10",1.89147208007408
"SLCO2A1",1.89109206441186
"CITED2",1.87216265751315
"PTGS2",1.87046713080115
"ATOH8",1.86379426679728
"TMSB10",1.86204690401517
"AKR1C1",1.85982329103697
"HES1",1.85855965818803
"GAS6",1.85644878634711
"LY6D",1.84714200794231
"PTMA",1.84479294033288
"ASF1B",1.8416474966453
"MID1IP1",1.83992882058485
"DUT",1.83793232383291
"HSPA1A",1.8360585446391
"TNFRSF12A",1.83052468782637
"DDIT4",1.82984251551318
"CXCL2",1.82468107826999
"XPOT",1.81934389572068
"NUPR1",1.79964032276033
"HOPX",1.79648140513469
"ANKRD36C",1.79333292781228
"ANGPTL4",1.79179716920314
"CKS1B",1.78712309860786
"RP6-65G23.3",1.78295335316601
"PRSS23",1.77845121528728
"GBP1",1.7713175962308
"CYP24A1",1.77034225415418
"FLJ22447",1.76799289653957
"PEBP4",1.76313265055028
"CRIP1",1.7613135293372
"FTL",1.76046611703826
"TRIP13",1.75757082787405
"CCNB2",1.75309172250512
"HLA-DPB1",1.74539563385536
"AZGP1",1.7438731533573
"PHGDH",1.73790021155968
"TUBB",1.73509997275682
"HLA-DRB5",1.73272622582763
"H2AFJ",1.7305038236883
"TACSTD2",1.72926716573423
"FSTL3",1.72634430578653
"BTG2",1.72583218688268
"ZWINT",1.72422274766948
"ICAM1",1.71078651110127
"FTH1",1.7088812823013
"NR4A1",1.70782459944292
"CXCL17",1.70660390330091
"CEACAM6",1.70632428675991
"PHLDA1",1.70361588230809
"C5orf49",1.70127668018065
"CCL4",1.69802346008729
"LPCAT1",1.69691161234438
"H1F0",1.69373736933363
"APOE",1.69334665987356
"TREM1",1.69297260309724
"SLC6A14",1.69162858746888
"HHATL",1.6912277506892
"HBEGF",1.69090600044642
"DYNLL1",1.68982447621895
"MRPS31",1.68756714734342
"FABP5",1.68386734768715
"JUNB",1.67946227743843
"HELLS",1.67857590999152
"NFKBIA",1.6769273041167
"LGALS1",1.67614756191668
"AC009133.12",1.67462354910755
"IRF1",1.67151992837597
"F3",1.67026888636595
"PLAU",1.66944609153077
"PSENEN",1.66690650175588
