"","x"
"AAAS",19.4182414147784
"AACS",11.6253148370172
"AAED1",16.2418909305206
"AAGAB",29.4943905643642
"AAK1",47.3571132205822
"AAMDC",58.2924497203741
"AAMP",46.9292837932594
"AAR2",10.9439877137282
"AARS",25.9450368624071
"AASDH",10.7544442907499
"AASDHPPT",27.8515746036144
"AATF",69.321831532413
"ABCA1",23.5722418175215
"ABCA12",12.1456043118273
"ABCA3",19.8857846096085
"ABCA4",20.174647232252
"ABCA7",44.4772446288869
"ABCB7",54.0939667227082
"ABCB8",12.6774491774325
"ABCC3",130.95479543219
"ABCC6",14.9266677436245
"ABCD1",10.3164007966895
"ABCD3",41.5453998937503
"ABCD4",26.0926168891638
"ABCE1",26.320829505341
"ABCF1",38.1104183178469
"ABCF2",30.1702423406656
"ABCF3",14.5027723554196
"ABHD11",58.4961830271124
"ABHD11-AS1",21.9898018048671
"ABHD12",32.0333235683302
"ABHD13",16.6001050854476
"ABHD14A",42.8622703936149
"ABHD14B",64.0716396198915
"ABHD17A",44.2195009261242
"ABHD17C",20.4665182556066
"ABHD2",80.0656744031072
"ABHD3",13.1087245990027
"ABHD5",40.0153790543856
"ABHD8",11.4338558545823
"ABI1",53.9403381522169
"ABI2",30.944243586182
"ABL1",29.6032084788549
"ABL2",192.329833544585
"ABLIM1",40.5740427459453
"ABLIM3",18.8135906575861
"ABO",25.8302065019327
"ABR",31.8880503717487
"ABRACL",118.589047098187
"ABT1",34.8201874169842
"AC004951.6",25.4346866056091
"AC007246.3",23.508543933683
"AC009133.12",195.956380092245
"AC013461.1",41.9747102946957
"AC016549.1",13.0724298448249
"AC058791.1",19.7666776473606
"AC090498.1",457.309734678082
"AC093673.5",13.3910277368614
"AC253572.1",15.670733125948
"ACAA1",94.995381719485
"ACACA",26.9688960426175
"ACAD8",18.1135024672516
"ACAD9",15.1835326117475
"ACADM",31.9406431088371
"ACADSB",12.5537605146591
"ACADVL",94.6854721959392
"ACAP2",40.2169172894226
"ACAP3",18.7842271499731
"ACAT1",26.264712589299
"ACAT2",29.1496552074511
"ACBD3",62.7018963180648
"ACBD5",18.5385889522756
"ACBD6",37.2041178524844
"ACD",17.1931006498761
"ACER3",28.2017677446598
"ACHE",15.7142472999827
"ACIN1",47.442740425835
"ACLY",42.5043899534552
"ACO1",16.9709262608105
"ACO2",20.5777822716391
"ACOT11",24.4594759556098
"ACOT13",70.3087056884457
"ACOT4",17.1448100048859
"ACOT7",94.5433539881151
"ACOT8",15.0350184314132
"ACOT9",35.9952048450447
"ACOX1",31.6556162088698
"ACOX2",41.9641630526866
"ACP1",213.060938526903
"ACP2",31.5865290503721
"ACP5",84.1989060656775
"ACP6",11.3123510595815
"ACSF2",10.5232832054702
"ACSF3",12.1380982829137
"ACSL1",74.509461332305
"ACSL3",26.556706274216
"ACSL4",53.8798217116386
"ACSL5",25.5126937621642
"ACTA2",20.3414594293076
"ACTB",4191.76783228158
"ACTG1",3817.06831469372
"ACTL6A",29.1136984460367
"ACTN1",84.3560039760703
"ACTN4",232.442692637882
"ACTR10",66.679366984501
"ACTR1A",42.9833868191981
