"","x"
"SCGB2B2",6
"SLMAP",6
"KRT15",5.57569428275779
"TM2D2",5.50656606608734
"APOE",5.0854823908689
"CCHCR1",4.92750583686661
"ALPPL2",4.56837899755285
"ISCA2",4.1613193376882
"CAPRIN1",3.76941127281497
"CD70",3.67912084913421
"CEACAM4",3.65291452519938
"JSRP1",3.37378280513106
"KIAA0087",3.35021955234904
"MT-ATP8",3.2985676516388
"APOC1",3.27001589967092
"TMSB15A",3.22175949474937
"CENPC",3.18928698142806
"HSPA8",3.13816970921284
"HERPUD1",3.10216536985831
"GPC1",3.08828400131073
"C15orf41",3.08798198109356
"CXCL14",3.07675511325273
"IGFBP1",3.0299641933618
"GANC",2.9999320999492
"IFI44",2.97924516994406
"AGR2",2.94771122589975
"B2M",2.88591290505298
"SPANXN4",2.84724181513749
"CTDSPL2",2.8277328350386
"HLA-DQB1-AS1",2.77651629760858
"HSPA13",2.75522153784497
"UPK1A-AS1",2.75463567768363
"TTYH3",2.752960226525
"MT-ATP6",2.73059304089596
"LDB2",2.69186871263363
"TAF9B",2.6550456890923
"UBE2A",2.65291767180702
"VIL1",2.64813191179278
"XAGE1A",2.64138418123156
"KRT6B",2.62971714551111
"GDF10",2.58999320830484
"S100A2",2.58259076107756
"CYP7B1",2.53727717969155
"NMT1",2.52891994393821
"AGER",2.52621275973388
"ZFP3",2.51839896126593
"S100A4",2.51494280634858
"NUPR2",2.48858193339543
"SLC2A14",2.47075842297395
"MT-CO1",2.46949237230714
"RHO",2.43774250299216
"TAB3-AS2",2.41830607419858
"ICAM2",2.41812156106339
"TUB",2.41197787470445
"PTRHD1",2.39495376976095
"SNCAIP",2.3777639774167
"COL28A1",2.34237438394914
"KLF4",2.34070916354425
"IFITM10",2.32852626750151
"DUSP4",2.32699483448486
"TOP1",2.31112264503942
"MT-ND2",2.30894584216348
"LXN",2.3051415606613
"TIMP1",2.30095811343157
"ANXA1",2.29439223612156
"RHOT2",2.28125192366362
"NAPG",2.26876149217416
"HLA-A",2.25495282884157
"S100A13",2.24875177041212
"NDUFV2-AS1",2.24598126393735
"ALDH1A1",2.24508377741886
"ALDOA",2.23033668267712
"SLC1A4",2.22811441861638
"FMR1",2.21630460346248
"HKDC1",2.21182820671529
"IGFBPL1",2.20395591466856
"MT-CYB",2.20320306787465
"ACTB",2.19554212044615
"ATF3",2.1893804355873
"ANKRD37",2.17862840631468
"EGLN3-AS1",2.1750172102183
"MSX1",2.17275319443152
"HMHB1",2.15863482877319
"CDC14B",2.14728458925924
"COL27A1",2.13975327931344
"JTB",2.13460824125228
"GSTM1",2.12410183905809
"TERT",2.12246285482321
"HKR1",2.102567493418
"MT-ND1",2.10215499045588
"SOX3",2.10028234273799
"HMGA2",2.09998055361589
"BAMBI",2.09749387222377
"WI2-85898F10.2",2.09727508678666
"B4GALT1",2.0728629950415
"CCNL1",2.07207848268698
"CKAP4",2.06319761348736
"TPI1",2.06315871423128
"DDIAS",2.047470766842
"MAP10",2.03009554632036
"DUS3L",2.02864464730744
"AARD",2.02074758609558
"CYP1A1",2.01848683846016
"LINC00887",2.01143494931751
"NDOR1",2.00965732799409
"GPHA2",1.99707012296948
"CR2",1.99547454213123
"FOLR3",1.9901211105375
"SCLY",1.98224595842086
"MT-CO3",1.97422097508164
"SCARNA9",1.97373156979818
"BNIP3",1.95582397492627
"IRAK4",1.93168702848754
"BMP4",1.91626560823112
"MT1A",1.91262824239639
"CCL4",1.90436068170425
"MYL6B",1.90339260149785
"ARL6IP1",1.90017023940117
"H2AFY",1.89882163993586
"RRM1",1.88899039665647
"WFDC12",1.88290164565646
"CATSPERD",1.88262428025256
"ID2",1.88153297509341
