"","x"
"A1BG",17.2731394023152
"A2ML1",17.6549923095232
"A4GALT",22.4653497363419
"AAAS",23.6288542240094
"AACS",30.2578193831726
"AAED1",33.0320557102227
"AAGAB",55.4039864560908
"AAK1",60.7650236917252
"AAMDC",35.0290315826253
"AAMP",123.627656380707
"AAR2",22.7376591866984
"AARS",48.5159563078814
"AARSD1",17.6594063820005
"AASDH",23.1170923900717
"AASDHPPT",44.2483171776849
"AATF",79.5365230581982
"ABCA2",24.1877891945489
"ABCA3",69.5066366263325
"ABCA7",104.724395716716
"ABCB8",55.0911207892723
"ABCC1",27.7407802587227
"ABCC3",259.696328904332
"ABCC4",18.5283684055967
"ABCD1",17.9067849336659
"ABCD3",23.2485653707751
"ABCD4",25.4953466497034
"ABCE1",61.5902163217116
"ABCF1",42.7463534459078
"ABCF2",68.5365454229102
"ABHD11",191.365195005921
"ABHD11-AS1",166.060811723623
"ABHD12",160.033209831224
"ABHD13",33.2888367571747
"ABHD14A",38.6756198265925
"ABHD14B",160.950611565153
"ABHD17A",104.886101422565
"ABHD17C",68.7995162491823
"ABHD18",22.0328559809505
"ABHD2",203.451853978402
"ABHD3",40.1582799724023
"ABHD5",98.2320835014829
"ABHD8",26.5056326935701
"ABI1",67.9070268636747
"ABI2",103.033461070031
"ABL1",33.9907211479592
"ABL2",74.0785533075451
"ABLIM1",111.859537478086
"ABLIM3",30.7533655391849
"ABO",21.2363972229625
"ABR",42.5116388066879
"ABRACL",63.2911779126635
"ABT1",40.4697103662565
"ABTB1",17.9395290115178
"AC002467.7",24.5907642352137
"AC003075.4",17.6126197861031
"AC004556.1",84.0237746573528
"AC004951.6",43.7402222663815
"AC005256.1",38.8146348318765
"AC007405.6",26.7993049909976
"AC009133.12",222.398573430776
"AC013461.1",87.3143584996183
"AC024560.2",30.1591258702825
"AC058791.1",22.0556650324712
"AC090498.1",161.31463067022
"AC091729.9",62.030610349482
"AC093323.3",42.8954513320826
"AC093673.5",19.8256240455599
"ACAA1",168.803957983762
"ACAA2",102.897686981801
"ACACA",42.2281244471731
"ACAD10",18.7647272712802
"ACAD8",23.2990417314795
