"","x"
"A1BG",47.7285626912535
"AAAS",50.0554985303003
"AAED1",119.901492409554
"AAGAB",44.7636666398834
"AAK1",106.982033049851
"AAMDC",175.369369792733
"AAMP",206.62661933243
"AAR2",41.8158968030742
"AARS",63.722827746446
"AASDH",58.5910554086395
"AASDHPPT",72.5780570610195
"AATF",73.4084231993113
"AATK",36.3144590022737
"ABCA1",81.5500053645459
"ABCA13",71.8804378595812
"ABCA3",1196.43365755794
"ABCA5",192.502994895204
"ABCA7",84.037358070582
"ABCA8",52.8252206663144
"ABCB7",41.4117829356687
"ABCB8",46.7580014683277
"ABCC4",58.0900315442213
"ABCC5",113.221761054645
"ABCC6",66.9130515390578
"ABCD3",104.413588184908
"ABCD4",85.0473182366277
"ABCE1",74.6564966725184
"ABCF1",64.1001618630136
"ABCF3",40.7270677530045
"ABCG1",39.7958698989955
"ABHD11",124.768336946362
"ABHD11-AS1",74.8611107279102
"ABHD12",141.256474282741
"ABHD13",33.9109793749703
"ABHD14A",127.349077510436
"ABHD14B",202.736782602288
"ABHD17A",116.439058272451
"ABHD17B",39.6171203872679
"ABHD17C",55.9351941483144
"ABHD2",652.262690541587
"ABHD3",46.5417016912689
"ABHD5",107.525617068157
"ABHD8",41.2031362409961
"ABI1",180.069721189885
"ABI2",197.127487640923
"ABL1",15.8291023642099
"ABL2",84.8122796627107
"ABLIM1",157.293090279358
"ABO",156.814141312902
"ABR",69.4401759440357
"ABRACL",165.927876387937
"ABT1",64.6364592602349
"ABTB1",73.4976290148662
"AC002117.1",27.607160545898
"AC004951.6",73.6145693771583
"AC007246.3",45.0976478919812
"AC007325.4",35.4220450868961
"AC007405.4",18.3863881085084
"AC007405.6",204.401840779662
"AC008268.1",711.233471312626
"AC009133.12",83.1269106934697
"AC009403.2",36.4776691386996
"AC013264.2",518.689378873387
"AC013461.1",140.693640104916
"AC026471.6",17.3429563519339
"AC074117.10",36.8878126272387
"AC079630.4",84.8276092327336
"AC090498.1",491.17873838126
"AC090616.2",121.727250722319
"AC093323.3",39.2434903732732
"AC113189.5",28.0763702832121
"AC159540.1",53.2359238757201
"ACAA1",250.713208332078
"ACAA2",95.7531192377974
"ACACA",101.377840821214
"ACAD10",41.4080210369202
"ACAD9",43.2131418497576
"ACADL",131.995697623553
"ACADM",205.266753590689
"ACADS",80.5120954756833
"ACADSB",108.482209024584
"ACADVL",462.577273515211
"ACAP1",68.3024306981976
"ACAP2",126.019173797148
