"","x"
"SCEL",4.73941990184427
"GGTLC1",4.68997824885761
"TIMP3",4.51019008922669
"S100A4",4.49494560584269
"ITLN2",3.67431967792084
"S100A10",3.58717875341714
"UPK3B",3.29227002440627
"SPOCK2",3.25414226522745
"ANKRD29",3.23719943716888
"EMP2",3.19118690915187
"MGP",3.13500737785896
"CXCL1",3.09905857983453
"NPC2",2.90795947263508
"ADIRF",2.85563318245782
"PIP",2.79657248565029
"WFDC2",2.79604776296522
"DENND3",2.79028293204394
"CXCL8",2.7387609364272
"EPB41L5",2.67431539606034
"OMG",2.58742793357493
"SLPI",2.57136430373053
"CLIC5",2.55788267942776
"ARHGEF26",2.55593694443674
"ANXA3",2.53608574650693
"C1orf198",2.51295329558657
"CAV2",2.50597150286516
"IL32",2.45943421705732
"CCL4",2.39472424769332
"PLS3",2.39287986484408
"CLDN18",2.39222428775266
"MS4A15",2.3892196473537
"ABCA7",2.36757801013893
"VEGFA",2.3171322644845
"FABP5",2.28743903921794
"CEACAM6",2.28194803631483
"CLIC3",2.27955127500316
"LMO7",2.23123182114095
"TSPAN13",2.23045937240493
"SEMA3B",2.21845878130615
"HSP90AA1",2.21358584292725
"C11orf96",2.1861144649591
"SCGB2A1",2.17122399885728
"PGC",2.14685127825337
"S100A9",2.14398839794876
"GPRC5A",2.14286769833156
"ISG15",2.12762535370735
"AQP4",2.1242762855958
"SPARC",2.12370989410879
"MYO1C",2.09247532425712
"RBP1",2.08892096013112
"DYNLL1",2.0585082544885
"C8orf4",2.05711064395964
"C1QA",2.0352085326851
"MYL9",2.03294293264976
"DAPK2",2.03166044072625
"PGM1",2.00844170501637
"NCKAP5",1.99337829473864
"LCN2",1.99290189462846
"TNNC1",1.99037459795027
"SLC39A8",1.98455050818502
"PLCG2",1.97819844472775
"CXCL2",1.96094415410685
"RRAS",1.95673536076322
"HOPX",1.95513013362995
"RP11-356K23.1",1.95085217093726
"TYROBP",1.93504212260766
"GSTA1",1.92568350776271
"WFS1",1.90900566447514
"TMSB4X",1.90891699415916
"GKN2",1.90091433846516
"CD151",1.88849614004027
"CALM1",1.88324780074596
"RGS16",1.87868159690604
"RTKN2",1.8730520013222
"SCAI",1.87223759328492
"WWC2",1.86929815020213
"PLLP",1.86831565731158
"NDNF",1.86258042803695
"NNMT",1.86236073624605
"RDX",1.85800994325903
"PRDX5",1.85788037726363
"AREG",1.85034956593001
"DST",1.84371195767434
"GDF15",1.83635383979364
"HPCAL1",1.83419949293178
"C2orf40",1.82110443433032
"PCYOX1",1.82063434715262
"CAV1",1.81968607683743
"GJA1",1.81576429267361
"SFTA1P",1.81490014213952
"PAPSS2",1.805672376337
"B2M",1.80283245404115
"GOLGA8B",1.79617451261858
"PDLIM2",1.79617135509737
"JUN",1.78695691064146
"KRT7",1.78284059920941
"FMO2",1.77844914750961
"HSPA1A",1.77321883294089
"LAMP3",1.7641110002413
"TIMP2",1.75989143115411
"IFI27",1.75719202236797
"C1QB",1.75220469741247
"HSD17B6",1.74746907129269
"NDST1",1.74547537401355
"CADM1",1.74321000487273
"TFF3",1.73704904876189
"PTRF",1.73311490071891
"ANOS1",1.73231606233168
"LGALS1",1.72599897901216
"SYNPO",1.71063493607506
"SFTPD",1.71044092789174
"GADD45B",1.70749857638923
"SPRYD7",1.69914874652924
"LPCAT1",1.69905762444077
"TSPAN1",1.69529071269115
"HBB",1.68503762439743
"TUBB4B",1.67895004726384
"NAPSA",1.67600375528868
"PCSK1N",1.67597133070747
"EVA1A",1.67054827345459
"MSLN",1.66630560890598
"RNASE1",1.66160384512815
"CD24",1.66148144486267
"TMEM190",1.65078162528063
"ANXA2",1.64458231333589
"SOX2",1.63410300996692
"CXCL3",1.63397511204149
"IFI6",1.63123070775173
"C19orf33",1.62806878256235
"SOX4",1.62633870244144
"EDN1",1.62318982077851
"FTL",1.61845253946021
"GAS6",1.61639931752969
"CATSPERD",1.61594664738281
"SCGB3A2",1.61512090063192
"PEBP4",1.61511398212716
"CCDC173",1.61082864209227
"IL1B",1.60698698427676
"CCL20",1.60686077776371
"WDR38",1.60588157490786
"TSPAN19",1.60496541723653
"KLK11",1.5977370960006
"PIGR",1.59564994736316
"C20orf85",1.59454297828833
"RP1",1.59444129470469
"CYP4B1",1.59274661336318
"FOLR1",1.59178656155935
"C9orf24",1.58713503965424
"SCGB3A1",1.58413394910256
"AGER",1.58083211958864
"SUSD2",1.57908740457779
"ERICH3",1.57743281757065
"TNS1",1.57653968302786
"AGR3",1.57037863848171
"FABP4",1.57026112718601
"CETN2",1.56644330531733
"ATOH8",1.55863783486961
"CD164L2",1.55678798979039
"CTSH",1.55604935829733
"TUBA1A",1.55589615299635
"MBIP",1.55483185672295
"RHOBTB2",1.55217027465424
"AGR2",1.55207201349435
"PDZK1IP1",1.54702626379069
