"","x"
"AACS",31.9079423250696
"AADAC",41.6021263514367
"AAED1",42.1100967471776
"AAK1",53.4583771322748
"AAMDC",50.6661519566864
"AAMP",99.8630027112965
"AARS",40.3738179463388
"AASDH",32.9651891785912
"AASDHPPT",42.4148715682807
"AASS",19.8499556490638
"AATF",49.3363708330297
"ABCA3",1035.27819820406
"ABCA5",34.5102223304811
"ABCA7",27.2236539962346
"ABCB8",19.9038378255977
"ABCC4",41.0993251413328
"ABCC6",62.0026884411094
"ABCD3",82.9694461193001
"ABCD4",32.4153037870929
"ABCE1",33.2880713611872
"ABCF1",81.9599132548441
"ABHD11",29.310826089556
"ABHD12",57.5458476945536
"ABHD13",21.8225448006586
"ABHD14A",82.7136398890764
"ABHD14B",102.543927312288
"ABHD17A",37.5222816469327
"ABHD17C",43.1583713298506
"ABHD2",165.586268119136
"ABHD3",23.269734984295
"ABHD5",62.8632090447126
"ABHD8",25.4258039986711
"ABI1",37.6760911805769
"ABI2",40.0136882823454
"ABLIM1",27.0406094907145
"ABO",30.5024043957598
"ABR",37.0577113828697
"ABRACL",58.7825141170994
"ABT1",49.9681725586906
"ABTB1",29.0260576865125
"AC007246.3",36.8323720907358
"AC007405.6",55.8212095782716
"AC008268.1",269.649283235231
"AC009133.12",61.505146056182
"AC009403.2",43.1557498274816
"AC013461.1",100.290570927406
"AC079630.2",14.480586448048
"AC079630.4",152.173003500775
"AC090498.1",247.028827087366
"AC090616.2",68.9004293059136
"ACAA1",143.102891813753
"ACAA2",91.8778947180724
"ACACA",70.1234367710124
"ACAD8",23.0688010799807
"ACAD9",21.4706585054698
"ACADL",34.6750530948497
"ACADM",68.82053413106
"ACADS",58.6424687333383
"ACADSB",20.9949424349642
"ACADVL",156.811296512092
"ACAP2",47.465148817621
"ACAT1",168.895476690634
"ACAT2",78.8944295328405
"ACBD3",68.5027179324487
"ACBD5",23.4659259883101
"ACBD6",46.3933210025297
"ACIN1",79.2454405781763
"ACLY",45.3449950813714
"ACO1",21.2471676558426
"ACO2",80.3481278720662
"ACOT13",79.6377908882917
"ACOT8",25.7598950711887
"ACOT9",23.3036303301092
"ACOX1",54.4278073647619
"ACOXL",26.1195745281654
"ACP1",245.183026516179
"ACP2",31.0483780808945
"ACP5",134.819370328524
"ACSF2",23.721478364689
"ACSL1",146.571616077212
"ACSL3",81.0806108628764
"ACSL4",150.292416674612
"ACSL5",89.4813681555067
"ACSM3",47.9971130241666
"ACSS1",38.8209704864754
"ACSS2",57.7223731630117
"ACSS3",22.8481807134972
"ACTB",2121.9199045902
"ACTG1",1256.17385955476
"ACTL6A",38.4956974950133
"ACTN4",228.523477594617
"ACTR10",109.773740057485
"ACTR1A",74.7362138424876
"ACTR1B",61.1627481376903
"ACTR2",139.05538032256
"ACTR3",130.157959015168
"ACTR6",23.6185390313324
"ACVR2B",23.9564037846687
"ACYP1",21.6350801977957
"ACYP2",49.0961501338729
"ADAM10",30.2106475688489
"ADAM15",63.8516446054396
"ADAM17",35.1094044244864
"ADAM9",38.4920743054183
"ADAR",114.940438355808
"ADCK3",62.1081569180652
"ADCK4",29.1580457636903
"ADCY7",33.9953703551471
"ADCY9",19.771829697212
"ADD1",65.7726011939727
"ADD3",93.1929739397137
"ADGRD1",22.4662235297073
"ADGRE5",77.2805401584328
"ADGRF1",32.5732883634078
"ADGRF5",307.344177434302
"ADGRL1",19.2052801219925
"ADGRV1",28.8186356542195
"ADH5",175.109939167783
"ADI1",421.279415436539
"ADIPOR1",190.37381854024
"ADIPOR2",37.0722132494171
"ADIRF",944.305633235909
"ADK",115.32917084636
"ADNP",28.7776526425221
"ADPGK",65.0763764504651
"ADPRHL2",40.321055516529
"ADRB2",76.6806331619187
"ADRBK1",32.6088462972149
"ADRM1",130.565987400035
"ADSL",29.5932591926925
"ADSS",63.5489906238884
"AEBP2",31.3765226680462
"AES",276.978929455751
"AFF1",32.2212846241901
"AFF3",63.8938741735777
"AFF4",103.341749488173
"AFG3L2",29.6518393882282
"AFTPH",56.4141656051841
"AGA",27.7910706185485
"AGAP1",15.8982896781846
"AGAP3",34.9224287697528
"AGER",149.650239380921
"AGFG1",36.2981523851737
"AGGF1",37.2037097464712
"AGO2",31.8871115346045
"AGO3",26.6654747678612
"AGPAT1",38.115957245652
"AGPAT2",576.238071364468
"AGPAT3",29.5187022517271
"AGR2",823.891015785986
"AGR3",654.12118018748
"AGRN",44.0613975864342
"AGTR2",173.942502248576
"AGTRAP",111.526917373778
"AHCY",90.9412931606459
"AHCYL1",184.412521043041
"AHCYL2",118.084711349574
"AHI1",118.091369587337
"AHNAK",80.5870497525058
"AHR",104.469885839207
"AHSA1",96.4916123442254
"AHSA2",20.9863229235594
"AIDA",77.5918471949759
"AIF1",74.5387304241909
"AIFM1",35.5957362141433
"AIG1",63.6571170440264
"AIM1",22.4105079345163
"AIMP1",148.506204039209
"AIMP2",31.4593858746607
"AIP",97.2994256252068
"AK1",1252.98599425037
"AK2",217.456671867123
"AK3",102.054946356669
"AK6",56.7857419501181
"AKAP1",106.279761024461
"AKAP11",24.4199711283807
"AKAP13",541.69040303711
"AKAP17A",39.9178018355819
"AKAP8",19.979955768435
"AKAP8L",38.1122711368416
"AKAP9",319.176360228982
"AKIP1",23.9589359349842
"AKIRIN1",52.7162803560892
"AKIRIN2",52.5179739375286
"AKNA",22.0131547515749
"AKR1A1",156.692784049635
"AKR1B1",32.3726973415942
"AKR1C1",30.6202072968265
"AKR7A2",124.085014530527
"AKT1",76.6292198675046
"AKT1S1",40.3965459885743
"AKT2",37.292320520373
"AKTIP",34.7795023383411
"ALAS1",70.2158335102784
"ALCAM",116.859899441052
"ALDH16A1",31.2163179314751
"ALDH1A1",127.60662949349
"ALDH2",579.217392484244
"ALDH3A2",92.3656033428958
"ALDH3B1",54.2515795022404
"ALDH5A1",26.1977004710448
"ALDH6A1",95.7520359361324
"ALDH7A1",28.2255982777309
"ALDH9A1",115.32818348557
"ALDOA",608.279220748037
"ALG1",26.1438498573624
"ALG12",20.2484619844603
"ALG13",69.1329971462716
"ALG14",29.7475238402283
"ALG2",40.7281960245511
"ALG3",68.8379776774197
"ALG5",112.073004447006
"ALKBH3",22.9467507423729
"ALKBH5",67.7554094033407
"ALKBH7",260.534311612976
"ALOX15B",53.8264627463232
"ALOX5AP",93.7089219571991
"ALPL",371.934584364266
"AMD1",182.07568551367
"AMFR",19.9633060063625
"AMOTL1",38.8212499721729
"AMOTL2",11.4142777725153
"AMZ2",44.5896781908383
"ANAPC1",16.8313766096702
"ANAPC10",47.8010401255607
"ANAPC11",426.771065623667
"ANAPC13",172.762574368152
"ANAPC15",83.5032478329818
"ANAPC16",588.416772617375
"ANAPC5",61.8906956231293
"ANAPC7",28.142305424607
"ANG",61.9218833980445
"ANK3",174.97662329905
"ANKFY1",22.7887900082056
"ANKHD1",25.1964201099991
"ANKLE2",21.8132522456196
"ANKRD10",59.8191096241257
"ANKRD11",149.17562379946
"ANKRD12",226.656507517651
"ANKRD13A",27.4493554237007
"ANKRD13D",22.3393404251614
"ANKRD17",60.6853623463798
"ANKRD26",24.8700360256685
"ANKRD28",33.5876986947949
"ANKRD29",51.3568949974414
"ANKRD37",22.9612306681427
"ANKRD39",32.4963990707574
"ANKRD44",21.0011374767228
"ANKRD46",13.8846572555587
"ANKRD49",20.9289521140643
"ANKRD50",20.355336705745
"ANKRD54",18.074784397789
"ANKRD65",102.416712173969
"ANKS6",23.3577087262025
"ANKZF1",23.6672676898269
"ANP32A",146.25368783036
"ANP32B",245.73419936681
"ANP32E",114.727246247429
"ANTXR1",22.1362347113546
"ANXA1",491.694553977657
"ANXA11",204.442109574549
"ANXA2",604.218545848943
"ANXA4",292.363180318032
"ANXA5",292.662768180095
"ANXA6",56.9870921934954
"ANXA7",144.264597912284
"AP1B1",26.7208649945625
"AP1G1",28.097172816855
"AP1G2",30.7447563991934
"AP1M1",22.1392167872702
"AP1M2",97.6707156913125
"AP1S1",64.3574435126263
"AP1S2",27.6226490290236
"AP2A1",22.8487956392597
"AP2A2",58.2582864372113
"AP2B1",75.1567434841433
"AP2M1",143.442145929292
"AP2S1",301.363246352014
"AP3B1",27.2562234012489
"AP3D1",118.976117794113
"AP3S1",102.264882230014
"AP4M1",25.9900719763017
"AP5M1",25.9979346921516
"APBB1IP",29.5627099950715
"APEH",36.6472211002166
"APEX1",119.163834464664
"APH1A",130.896648805908
"APH1B",18.3021689583739
"API5",42.0852842691596
"APIP",42.5347953093198
"APITD1",29.4489514592963
"APLP2",687.315852151078
"APMAP",81.9881658415485
"APOA1BP",130.782908568506
"APOBEC3C",19.5105599669435
"APOC1",386.193867107961
"APOE",101.593872645735
"APOH",24.1970048194093
"APOL1",21.0446130849601
"APOL6",52.3447436672144
"APOO",25.5315173576678
"APOPT1",79.5201241143745
"APP",101.602604115224
"APPBP2",45.8167582454014
"APPL1",61.6313376171896
"APPL2",21.6862357711204
"APRT",462.526930514318
"APTR",26.2869696054739
"APTX",34.8776222514284
"AQP1",541.138178424552
"AQP3",620.811840783836
"AQP4",215.777372950677
"AQR",27.1462140744693
"ARAF",47.0578823962486
"ARAP1",48.3345586982119
"ARCN1",79.3426693835278
"AREG",370.629859186013
"ARF1",488.065218010826
"ARF3",127.383819740731
"ARF4",322.49129133205
"ARF5",109.453929845584
"ARF6",111.524396787408
"ARFGAP2",43.8117437114817
"ARFGAP3",75.6180386866902
"ARFGEF1",18.6691256504764
"ARFGEF2",12.4745395094209
"ARFGEF3",161.016767161125
"ARFIP1",29.3604928080524
"ARFIP2",57.6419849804682
"ARFRP1",24.7245814299462
"ARGLU1",293.168649235419
"ARHGAP1",40.4339514002725
"ARHGAP12",26.4501625272244
"ARHGAP18",40.4811448872002
"ARHGAP24",30.8149601908783
"ARHGAP27",26.3060636733498
"ARHGAP29",39.0370834371676
"ARHGAP31",27.1719156984231
"ARHGAP32",25.4074412972247
"ARHGAP35",34.0819335857633
"ARHGAP44",22.8662474979224
"ARHGAP5",66.0415955801102
"ARHGDIA",196.164273630171
"ARHGDIB",198.722411557639
"ARHGEF1",96.3913233188039
"ARHGEF12",94.8777178417748
"ARHGEF17",33.7780590309996
"ARHGEF2",90.6124212120172
"ARHGEF26",14.5330410073431
"ARHGEF38",21.7909869403807
"ARHGEF5",20.908830903888
"ARHGEF7",21.3194537941428
"ARHGEF9",20.3544864446481
"ARID1A",76.7664257161731
"ARID1B",35.0606376042483
"ARID2",17.550912697672
"ARID3A",15.7534867291535
"ARID4A",72.5291538523775
"ARID4B",101.403140021819
"ARID5B",83.9519157435957
"ARIH1",67.9982969897912
"ARIH2",38.2205503775002
"ARL1",117.672311721875
"ARL13B",37.9829663326883
"ARL14EP",19.5650235403211
"ARL16",58.5826155950445
"ARL2",221.12519212924
"ARL2BP",104.298075410821
"ARL3",89.5144707023626
"ARL4A",104.388436197382
"ARL4C",32.7147375539653
"ARL5A",275.975333925629
"ARL5B",20.4363396472318
"ARL6IP1",144.565568923751
"ARL6IP4",526.654799053889
"ARL6IP5",280.146168228053
"ARL6IP6",30.1635445133356
"ARL8A",27.355365382169
"ARL8B",74.0793799281272
"ARMC1",32.7715402865996
"ARMC10",42.3342920310691
"ARMC6",35.3872256640687
"ARMC7",25.8799616378431
"ARMC8",30.7546112073704
"ARMC9",105.420185664203
"ARMCX1",20.5644265982281
"ARMCX2",21.3860426474703
"ARMCX3",85.4201372570925
"ARMCX6",74.2568178884955
"ARMT1",89.3910531114738
"ARNT",21.1278299036335
"ARNTL",27.2342558529222
"ARPC1A",227.251287844265
"ARPC1B",366.255999070755
"ARPC2",633.172154626099
"ARPC3",554.500553663349
"ARPC4",124.917089218976
"ARPC5",238.617875037754
"ARPC5L",218.266156927184
"ARPIN",22.4590914524605
"ARPP19",118.861788180907
"ARRB1",25.1618455243792
"ARRB2",48.3736164606961
"ARRDC1",82.4323685610101
"ARRDC3",234.610994537946
"ARSA",28.4948937357608
"ARSD",58.8997437797113
"ARV1",54.3228351866935
"ASAH1",678.731543184914
"ASB8",40.751000241826
"ASCC2",40.0212915504626
"ASCC3",20.5504478901068
"ASF1A",34.0295391729785
"ASH1L",95.3520903708321
"ASH2L",31.3555797112616
"ASL",121.960884503248
"ASMTL",17.9217173946464
"ASNA1",138.133845742847
"ASNSD1",41.6597510767552
"ASPH",322.534705907244
"ASPSCR1",92.7990048327533
"ASRGL1",72.9377995032069
"ASS1",55.1735387841049
"ASXL1",25.0457290818014
"ASXL2",23.4522065498646
"ATAD1",18.144410967718
"ATAD3C",57.1650820686189
"ATE1",25.9595595927831
"ATF1",21.3133330875785
"ATF3",129.806512828345
"ATF4",365.845005230931
"ATF6",51.6703330351063
"ATF6B",59.7420904990526
"ATF7",71.9801881758719
"ATF7IP2",14.8645712800772
"ATG101",31.3509687648325
"ATG12",70.0248236427416
"ATG13",22.2981041981404
"ATG2A",19.6969525460062
"ATG3",94.0495892029526
"ATG4B",28.8875738506627
"ATG4D",26.3771065633204
"ATG5",46.9141487945893
"ATG9A",21.9108829352366
"ATHL1",20.3636494512638
"ATIC",45.3032924899932
"ATL2",37.7755913870039
"ATL3",37.8720344882144
"ATM",23.6701202277401
"ATN1",58.802372822336
"ATOH8",58.8764598803583
"ATOX1",179.472578339441
"ATP11A",392.341689428408
"ATP11B",30.8426009024804
"ATP13A3",26.0807274065575
"ATP13A4",43.3210243291194
"ATP1A1",653.592825825775
"ATP1B1",579.761853285643
"ATP1B3",68.0107535990464
"ATP2A2",93.0738703538599
"ATP2B1",56.7380564440984
"ATP2B4",137.770630220914
"ATP2C1",105.265635700872
"ATP2C2",36.6491824412609
"ATP5A1",277.93411280016
"ATP5B",295.552049334297
"ATP5C1",268.352179183305
"ATP5D",447.232760287107
"ATP5E",1477.83582386932
"ATP5F1",283.136371941121
"ATP5G1",265.222424045262
"ATP5G2",870.677941186785
"ATP5G3",454.387033160443
"ATP5H",443.34617355575
"ATP5I",458.729654533469
"ATP5J",504.688009971061
"ATP5J2",473.678184754117
"ATP5L",885.660598750469
"ATP5O",460.71107470264
"ATP5S",47.9323366653328
"ATP5SL",31.6790199147216
"ATP6AP1",122.873626022124
"ATP6AP2",131.438805390146
"ATP6V0A1",51.3294922570762
"ATP6V0B",329.775230185296
"ATP6V0D1",246.052081849711
"ATP6V0E1",810.001814808806
"ATP6V1A",90.6890517440107
"ATP6V1B2",53.7641871708614
"ATP6V1C1",25.8548316543556
"ATP6V1D",109.740787478311
"ATP6V1E1",223.655603406097
"ATP6V1F",395.220529558273
"ATP6V1G1",588.664846345802
"ATP6V1H",65.3420112267265
"ATP8A1",125.993121866441
"ATP8A2",46.7580062936996
"ATP8B1",37.7630076505905
"ATPAF1",43.2443279798791
"ATPAF2",20.3058828409859
"ATPIF1",680.227923688037
"ATRAID",279.596911305781
"ATRN",16.3931590763345
"ATRX",164.080490166319
"ATXN1",38.4251611504141
"ATXN10",109.13085249654
"ATXN2",72.3550696615226
"ATXN2L",33.2994796956077
"ATXN3",23.9794686050672
"ATXN7",46.5755137062371
"ATXN7L3B",39.4241883120587
"AUH",21.1668148308256
"AUP1",139.514190505304
"AURKAIP1",309.078626917954
"AUTS2",48.773929456107
"AVL9",17.6823600326127
"AVPI1",31.7914434449729
"AXIN2",26.5893408243154
"AZGP1",299.780837754713
"AZI2",76.034339670827
"AZIN1",67.0507708671102
"B2M",5622.05743133739
"B3GAT3",59.7728137501255
"B3GNT8",201.261934654054
"B4GALT1",77.9011673235433
"B4GALT3",42.3648645055463
"B4GALT5",49.0980459925407
"B4GALT7",27.950360417724
"B4GAT1",30.9359871187557
"B9D1",44.8873362281593
"B9D2",42.5669438525037
"BABAM1",98.7284558390715
"BACE2",51.9257897041225
"BAD",243.079877982937
"BAG1",259.251360178179
"BAG3",64.7381855608201
"BAG4",17.6441920813175
"BAG5",26.2946424566068
"BAG6",90.2244254006867
"BAIAP2",82.2631474313385
"BAIAP2-AS1",43.2483736264958
"BAIAP2L1",50.0899548678701
"BAMBI",66.662605897177
"BANF1",302.844744556819
"BANK1",25.330845031314
"BAX",128.871535092165
"BAZ1A",126.094787082095
"BAZ1B",77.1419382417827
"BAZ2A",75.0171329513252
"BAZ2B",98.3950348562738
"BBIP1",48.7882733295507
"BBS2",14.9575431628064
"BBX",111.209082931399
"BCAM",187.412412033331
"BCAP29",120.858292059125
"BCAP31",242.199745544808
"BCAR1",16.3421760082666
"BCAS2",79.0948942635584
"BCAT1",48.1999153096413
"BCAT2",99.8472384817957
"BCCIP",27.0999702021021
"BCKDK",48.6078730210333
"BCL10",17.3250926983545
"BCL11A",24.2237943892147
"BCL2L1",50.822362488451
"BCL2L12",37.5236192690124
"BCL2L13",26.1191673180473
"BCL2L2",32.554044046908
"BCL3",53.2315152766443
"BCL6",36.5651165703523
"BCL7A",30.4617358352822
"BCL7B",96.9337218020904
"BCL7C",59.0274013945717
"BCL9L",15.9109758818487
"BCLAF1",167.820124903523
"BCOR",17.0595150318898
"BDH1",36.834291089572
"BDH2",89.1913865259416
"BDP1",84.3430509359728
"BECN1",62.5102989214647
"BET1",71.7045994384984
"BET1L",37.0798932997121
"BEX2",166.179625234958
"BEX4",144.24422239713
"BEX5",27.9812354282192
"BFAR",83.0250030737794
"BHLHE40",133.498471847847
"BID",29.1248941638363
"BIN1",24.3812269743926
"BIN3",27.2937357602576
"BIRC2",25.7529990497599
"BIRC3",37.9317435444211
"BIRC6",60.8611031471983
"BIVM",23.0037629242862
"BLCAP",48.2502934539034
"BLOC1S1",267.232983979794
"BLOC1S2",60.906923486277
"BLOC1S4",41.365152826448
"BLOC1S6",45.1565054980296
"BLVRA",134.407546058484
"BLVRB",656.720391428382
"BLZF1",21.3931034535764
"BMI1",33.0977098645547
"BMP1",131.665501327528
"BMP2",145.967703288542
"BMP3",96.8241700569814
"BMP4",29.6278404346712
"BMPR2",30.5150209833873
"BMS1",17.236828462764
"BNIP1",19.4373520414978
"BNIP2",46.1451238531377
"BNIP3",73.0992823958414
"BNIP3L",318.236914112567
"BNIPL",28.8791974866854
"BOD1",64.8376023845186
"BOD1L1",54.8142011052272
"BOK",124.533230427837
"BOLA1",60.4550469693572
"BOLA3",159.139772897936
"BORCS7",228.335897322499
"BORCS8",58.8438294020605
"BPGM",28.5112006337844
"BPTF",154.312813189311
"BRAF",28.9006354710837
"BRD2",159.083404842955
"BRD3",45.4321675241681
"BRD4",78.3142203283744
"BRD7",76.8130917524069
"BRD8",31.0237904341486
"BRD9",27.5047601500939
"BRE",55.5470084779159
"BRI3",773.2478826789
"BRIX1",20.4727885582611
"BRK1",421.837278888998
"BRMS1",70.2629966035144
"BROX",46.0805765388808
"BRWD1",38.2105330871878
"BSDC1",54.359843531029
"BSG",331.404536665421
"BST2",54.5447603478826
"BTBD7",27.3248722746811
"BTD",26.5348907856531
"BTF3",1037.47797737791
"BTF3L4",82.6217199318211
"BTG1",1120.42477631224
"BTG2",434.967749010687
"BTG3",283.960752496689
"BTN3A2",28.0962531242823
"BUB3",58.083190206484
"BUD31",249.858578066417
"BZW1",137.880355176863
"BZW2",69.4503234562959
"C10orf11",75.5510935298473
"C10orf95",27.7111803422273
"C11orf1",115.725418292123
"C11orf31",323.184199854409
"C11orf49",24.728730591701
"C11orf54",55.9291984311983
"C11orf57",28.3056134135395
"C11orf58",330.397894441505
"C11orf73",77.6905059201739
"C11orf96",576.284283441377
"C12orf10",74.0898651173993
"C12orf45",42.847567434393
"C12orf49",74.0286387265579
"C12orf57",444.219004583167
"C12orf65",95.4628473992716
"C12orf75",67.0544688704764
"C12orf76",55.7201242617887
"C14orf1",325.401839662171
"C14orf119",117.329602855914
"C14orf142",44.1684952522419
"C14orf159",21.4784739491132
"C14orf166",264.433764717778
"C14orf2",469.396445969593
"C15orf40",54.9109161341201
"C15orf48",23.4721386675668
"C15orf57",20.4328971846229
"C15orf61",92.7261383358218
"C16orf13",229.641599545423
"C16orf58",33.2547753689049
"C16orf72",28.6564895911503
"C16orf87",18.2324475656895
"C16orf89",449.4029487511
"C16orf91",30.9521493031964
"C17orf62",41.6324296401164
"C17orf89",193.134544226525
"C18orf21",34.4497909432788
"C19orf24",114.128536088801
"C19orf25",47.0353578827111
"C19orf33",149.697371280519
"C19orf43",456.74856731798
"C19orf48",27.3539214622815
"C19orf53",460.260467978664
"C19orf54",15.0436538075224
"C19orf60",137.853300937724
"C19orf66",29.5265757314623
"C19orf70",243.347551710286
"C1D",89.3292809050392
"C1GALT1",51.132003628404
"C1GALT1C1",13.5077582269489
"C1QA",221.199751837771
"C1QB",184.860623989397
"C1QBP",224.133938782388
"C1QC",36.1252248027085
"C1R",178.584289335078
"C1RL",56.0982178002412
"C1S",83.6679831206716
"C1orf116",220.819664228728
"C1orf122",146.515907500667
"C1orf123",99.2181692992361
"C1orf131",40.8720137418064
"C1orf132",32.9277253536138
"C1orf162",32.8568736204628
"C1orf174",24.4736257492058
"C1orf198",53.384896067363
"C1orf21",190.166661451217
"C1orf210",71.2035623566837
"C1orf27",36.3384973221516
"C1orf35",50.8263237866779
"C1orf43",254.654051299391
