"","x"
"AAK1",1.03390791691565
"AAMDC",1.00841989456079
"AAMP",1.00541271583678
"AASS",1.097257687994
"ABCA1",1.68587028922255
"ABCA3",1.20474144835783
"ABCA5",1.34460827221815
"ABCA7",1.48123465820954
"ABCC4",1.03679487613461
"ABCC6",1.02192035234626
"ABCD3",1.01652387751977
"ABCF1",1.01603976681586
"ABHD11",1.04893262824519
"ABHD12",0.926680910759342
"ABHD14A",0.950270302193961
"ABHD14B",0.866762115254898
"ABHD17A",0.957682289013726
"ABHD17C",0.903868945583806
"ABHD2",1.08696559757441
"ABHD5",0.97622202109929
"ABI1",0.932482941748534
"ABI2",1.09664470146422
"ABL2",0.999209063915133
"ABLIM1",1.22049888471324
"ABO",0.997443114196718
"ABR",1.03574658984286
"ABRACL",0.930924502179956
"ABT1",0.954365015605698
"ABTB1",1.09197056185566
"AC007405.6",1.03567287064132
"AC008268.1",1.19006661117701
"AC009133.12",0.954325681597036
"AC013461.1",1.01631601572705
"AC079630.4",1.18243502918978
"AC090498.1",0.863209515418259
"AC090616.2",0.997497691850917
"AC245100.1",0.984733570475317
"ACAA1",0.981764046816495
"ACAA2",0.954205429115048
"ACACA",1.03158866491293
"ACADL",1.0813144095114
"ACADM",0.895314235305955
"ACADS",1.03313006010647
"ACADSB",1.00937588129028
"ACADVL",0.963279575297632
"ACAP2",0.97407948555728
"ACAT1",0.962400109748888
"ACAT2",0.996201328783971
"ACBD3",0.892268158199455
"ACBD6",0.921216337699193
"ACIN1",0.88720632505701
"ACLY",1.02021130519967
"ACO2",1.02729681376303
"ACOT13",0.975434346479614
"ACOT8",0.998214178380038
"ACOX1",1.06182168803733
"ACP1",0.880740366501266
"ACP5",1.17018784571599
"ACSF2",1.04410644357446
"ACSL1",0.910748271366487
"ACSL3",1.0337255200893
"ACSL4",1.0561917769872
"ACSL5",0.873754514144337
"ACSS1",1.02519680916569
"ACSS2",1.11944974973032
"ACTB",1.52321981626279
"ACTG1",1.06776123166779
"ACTN1",1.09697925546642
"ACTN4",0.915664635047189
"ACTR10",0.867839523719641
"ACTR1A",1.01778467230358
"ACTR1B",0.87503392437463
"ACTR2",0.967910669394683
"ACTR3",0.902666620294183
"ACYP2",1.01403556697895
"ADAM10",1.03287929790003
"ADAM15",0.902958901879928
"ADAM17",0.886144780379751
"ADAM9",0.971506284209817
"ADAMTS1",1.32529692388903
"ADAR",1.01529888884572
"ADCK3",0.932900916371581
"ADCY9",0.991656766788862
"ADD1",1.03166054583773
"ADD3",1.01333306747781
"ADGRE5",0.879493882127492
"ADGRF5",0.936580642854157
"ADH5",0.909865713930055
"ADI1",0.79761401133596
"ADIPOR1",0.835473038767547
"ADIPOR2",0.916652503425455
"ADIRF",2.04077665577189
"ADK",0.930270573567952
"ADNP",0.997531909677589
"ADNP2",0.884941737737465
"ADPGK",1.05767760564774
"ADPRHL2",1.25845048993827
"ADRB2",1.09938452205143
"ADRM1",1.1049764094496
"ADSS",0.975359588575507
"AES",1.06710205677147
"AFF1",1.04390565228917
"AFF3",1.0367772616414
"AFF4",0.895861913433454
"AFG3L2",1.01692419716741
"AFMID",1.02479694319282
"AFTPH",0.995563761250618
"AGAP3",1.04752809312333
"AGER",3.29294995616165
"AGFG1",0.987937351058641
"AGGF1",1.04514974422687
"AGO2",1.10543055930919
"AGO3",1.00817049277002
"AGPAT2",0.906732558682605
