"","x"
"A2M",129.133285907699
"AAAS",28.8573668123877
"AAED1",72.0397940733258
"AAGAB",53.20840951756
"AAK1",122.350584624426
"AAMDC",132.224171767411
"AAMP",167.144672873942
"AARD",31.5007985267099
"AASDH",34.6621372630572
"AASDHPPT",37.1709701669712
"AATF",72.9319283768778
"ABCA1",80.76322464962
"ABCA3",241.476772564181
"ABCA5",57.5775683137589
"ABCA7",65.3793745412783
"ABCB10",27.0093895202606
"ABCB7",41.7797956022589
"ABCB8",43.3757233601905
"ABCC10",25.6453459992049
"ABCC3",518.270107302765
"ABCC4",43.4962752321893
"ABCC5",48.0023958476942
"ABCC6",90.6437780562596
"ABCD3",148.611625906636
"ABCD4",62.622038317155
"ABCE1",96.9038384373894
"ABCF1",131.89607201117
"ABCF2",38.4221428944441
"ABCF3",22.3628138295074
"ABHD11",106.273689912895
"ABHD11-AS1",34.1064468095684
"ABHD12",94.9868904215792
"ABHD14A",129.60432930075
"ABHD14B",134.713239678363
"ABHD17A",54.9963363505025
"ABHD17C",96.8246440412522
"ABHD2",549.100969658406
"ABHD3",37.4784189291238
"ABHD5",164.381169148391
"ABI1",128.221166846918
"ABI2",170.60055808617
"ABL1",60.5904372189773
"ABL2",107.191655822044
"ABLIM1",141.333197813851
"ABO",70.0451309110719
"ABR",92.0019528054533
"ABRACL",182.217864597763
"ABT1",64.3539582940489
"ABTB1",63.976567130123
"AC003075.4",28.1800995858036
"AC004556.1",142.275080497948
"AC004951.6",144.146557155129
"AC007246.3",31.2879840126875
"AC007325.4",58.1516484340516
"AC007405.6",48.1603548822892
"AC008268.1",116.413417472925
"AC009133.12",24.9401144729282
"AC013264.2",50.6724884799846
"AC013461.1",66.9915381880745
"AC016549.1",26.0293065064992
"AC074117.10",58.0889132587272
"AC079630.4",35.3245615353521
"AC090498.1",307.90316412214
"AC090616.2",29.1372005179866
"AC093323.3",28.6155256944581
"AC159540.1",99.7410278627641
"AC245100.1",30.8352657624139
"ACAA1",176.380712029726
"ACAA2",53.9643333133961
"ACACA",66.2878138978989
"ACAD8",27.6054299626635
"ACADL",59.8732486648571
"ACADM",112.091738153909
"ACADS",34.7170316639899
"ACADSB",80.5235122199592
"ACADVL",274.947921146279
"ACAP1",34.7056382163913
"ACAP2",97.4161315453534
"ACAP3",62.7072300753027
"ACAT1",156.807622268244
"ACAT2",30.9837481755104
"ACBD3",120.544430466684
"ACBD5",57.6150785771792
"ACBD6",47.034060080492
"ACER3",44.4320941312819
"ACHE",28.1686451934545
"ACIN1",191.721389478136
"ACLY",73.351363901829
"ACO1",39.0659523140682
"ACO2",104.077357714275
"ACOT11",34.3824959799789
"ACOT13",126.505129188978
"ACOT7",33.2296472966926
"ACOT8",53.9436530871531
"ACOT9",67.2740096558845
"ACOX1",107.425269185296
"ACP1",255.407656052375
"ACP2",55.8380562205068
"ACP5",116.424282806988
"ACSF2",63.5193299320136
"ACSL1",101.178945515797
"ACSL3",110.603352872107
"ACSL4",84.2821497704909
"ACSL5",344.12580841943
"ACSM3",72.098266700899
"ACSS1",39.0325563286218
"ACSS2",54.3863301173992
"ACTB",6132.93021164092
"ACTG1",3570.11098256494
"ACTN1",136.020522628389
"ACTN4",379.17569301898
"ACTR10",121.785032617062
"ACTR1A",89.4845675745694
"ACTR1B",58.3049156962209
"ACTR2",383.205821541726
"ACTR3",247.816744811965
"ACVR1",56.7688401786567
"ACVR1B",30.4624827162777
"ACVR2B",24.2496576065344
"ACYP2",97.5839283194892
"ADAL",29.4812981116149
"ADAM10",98.1912696521259
"ADAM15",177.603573253207
"ADAM17",70.4527049892857
"ADAM8",82.4515886957295
"ADAM9",102.879664872459
"ADAMTS1",52.5247066541657
"ADAR",349.929996231532
"ADCK3",63.1108625040853
"ADCK4",28.7053033794048
"ADCY9",39.8555611421985
"ADD1",173.396165754485
"ADD3",224.36822100088
"ADGRA3",44.4078669933479
"ADGRD1",38.3867124341296
"ADGRE5",71.4411915329364
"ADGRF1",304.549211920996
"ADGRF5",681.010360550144
"ADGRG1",87.0458054003896
"ADGRL1",44.7962684065534
"ADH1C",33.6592253199129
"ADH5",198.209979435953
"ADI1",497.068541106818
"ADIPOR1",297.955182451743
"ADIPOR2",38.0406285148521
"ADIRF",1195.5839485538
"ADK",160.715539087564
"ADNP",66.6078020448228
"ADPGK",103.400063073022
