"","x"
"A1BG",1.05654176536439
"AACS",0.941928951715238
"AAED1",1.03470384737297
"AAGAB",0.916058569444259
"AAK1",0.974939746715173
"AAMDC",0.981489935004931
"AAMP",0.876117827468756
"AAR2",0.916789543256409
"AARS",1.00004956436864
"AARSD1",0.951727276268317
"AASDH",0.946202950505739
"AASDHPPT",0.914042911896127
"AATF",0.96741284377619
"ABCA1",1.20819254906897
"ABCA3",2.73068144520146
"ABCA4",1.44957548308693
"ABCA7",1.06872042057922
"ABCB10",0.977862301391126
"ABCB8",0.94349012520589
"ABCC1",0.938994861937674
"ABCC10",0.981916271247475
"ABCC3",1.33100697965891
"ABCC4",1.03789682280831
"ABCC5",0.972780369421215
"ABCC6",1.17136345535178
"ABCD3",1.02230538083674
"ABCD4",0.940573161949336
"ABCE1",0.975066655281535
"ABCF1",0.925207330594995
"ABCF2",0.871062587219569
"ABCF3",0.953358573242928
"ABHD11",1.03401728570935
"ABHD11-AS1",1.03961054114886
"ABHD12",0.922163550256556
"ABHD13",1.00151776797254
"ABHD14A",0.939763366591922
"ABHD14B",0.825095867164948
"ABHD15",0.904644061443529
"ABHD17A",0.94865353756347
"ABHD17C",0.947772749968884
"ABHD2",1.09156124352373
"ABHD3",0.936649664060304
"ABHD4",1.05313669772338
"ABHD5",1.14889775244585
"ABHD8",0.978201836974194
"ABI1",0.991945305361404
"ABI2",0.97505454896032
"ABL1",0.930038132368636
"ABL2",0.990651275543603
"ABLIM1",1.06266495291931
"ABO",1.13626007200589
"ABR",0.955360368142529
"ABRACL",0.909883616815858
"ABT1",0.864980455373999
"ABTB1",0.930315912492372
"AC003075.4",0.979332669756365
"AC004951.6",1.0611322099171
"AC005256.1",0.989853743187015
"AC007246.3",0.973462427611017
"AC007325.4",0.938228917294298
"AC007405.6",1.08981292708869
"AC008268.1",1.62888168590532
"AC009005.2",0.931572286779822
"AC009133.12",1.42734053894694
"AC009299.3",0.979710171797595
"AC009403.2",1.0443845190457
"AC013461.1",1.51933122021072
"AC016549.1",1.08689892499154
"AC074117.10",0.970571198431833
"AC090498.1",0.921118915345848
"AC090616.2",1.19006691487299
"AC093323.3",0.955942912952122
"AC093673.5",0.945038605150249
"AC253572.1",0.92099420509911
"ACAA1",1.07489677453522
"ACAA2",1.01750014426106
"ACACA",0.917723138571635
"ACAD8",0.968213111130964
"ACAD9",0.933396367835172
"ACADM",1.05501449882576
"ACADS",1.00258499471696
"ACADSB",1.16137494237467
"ACADVL",0.908233190834379
"ACAP2",0.922369763924949
"ACAP3",0.941420434607017
"ACAT1",1.1153842581761
"ACAT2",1.02330897701264
"ACBD3",0.914573912647111
"ACBD4",0.98831705006912
"ACBD5",0.993504854758543
"ACBD6",0.913465133576764
"ACD",0.899402623319112
"ACER3",0.953266930079888
"ACIN1",0.956323034867432
"ACLY",0.884747198528717
"ACO1",0.942484988852739
