"","x"
"AGER",6
"MGP",6
"SCGB1A1",6
"SCGB3A2",6
"TPPP3",6
"CXCL8",5.82064649871966
"SFTPA2",5.05676997284533
"SFTPA1",4.46387686100752
"CETN2",4.40011049936748
"PIFO",4.23972073250209
"AGR3",4.06633776902669
"IFI27",4.01627274269122
"CXCL1",3.78867764103722
"GADD45B",3.77174432638911
"CAV1",3.65895770877133
"HES1",3.47834338251339
"C12orf75",3.39051583675909
"ISG15",3.05502628156706
"FABP5",2.97685431988431
"SERPINA1",2.87631183174396
"EMP2",2.83425197745992
"CXCL3",2.81278246671092
"JUN",2.68572075290923
"ANXA1",2.66043316840915
"SCGB3A1",2.64574275685369
"ADIRF",2.64160753438489
"SLPI",2.62591057778757
"MORN2",2.61228774428105
"HSPA1A",2.5765579411497
"DYNLL1",2.54684088337356
"IGFBP2",2.4796216553097
"MRPS31",2.47496843874966
"IER2",2.44444565446395
"SPINK5",2.42974831735379
"CXCL2",2.41659704759936
"VIM",2.39399393848591
"PSENEN",2.39311509181113
"GDF15",2.38846777361597
"EIF4E",2.37437103500116
"ID2",2.35739771281104
"CHI3L1",2.35143453286817
"RGS1",2.34729953532227
"ID1",2.32995293535918
"PEG10",2.32650584621807
"TCTEX1D2",2.26981275966688
"CTGF",2.2539522754944
"STMN1",2.24433354664044
"FOS",2.23551388150972
"TYROBP",2.23443998570307
"ODF3B",2.22824923179984
"PGC",2.21894598690975
"S100A4",2.20987491503094
"MT2A",2.19135109263711
"PLA2G1B",2.18151832346972
"HSP90AA1",2.16957962677546
"LIF",2.16444203570416
"TFPI2",2.15959572919387
"IGFBP7",2.1237150112992
"CITED2",2.09541675454793
"NEAT1",2.09247288185332
"SRGN",2.07474206107759
"RRAD",2.07346694927036
"RNASE1",2.05947485280878
"HSPA6",2.04956690074448
"HLA-DRA",2.02953864165267
"SCGB2A1",2.01807652498293
"DUSP1",2.01482877223093
"AZGP1",2.00196502201298
"LGALS1",2.00044499868806
"AGR2",1.9935390063079
"TPSB2",1.98956339827811
"MYL9",1.97845156153298
"FAM229B",1.96664445467752
"IER3",1.95270475417357
"JUNB",1.94817424943501
"CEACAM6",1.93782918243209
"CXCR4",1.9298476318944
"IFI6",1.92367639459675
"IL32",1.91752015046107
"RPS4Y1",1.90239851372078
"C1QA",1.87945192837652
"DUSP2",1.87823853524372
"RND1",1.87026358716442
"HLA-DPB1",1.8539427040463
"EFHC1",1.85271573481218
"TNNC1",1.83644565050812
"PIGR",1.83545407232196
"SOX4",1.82872836026678
"WIF1",1.82235607334774
"CST6",1.82129297835555
"C1QB",1.80051799016224
"KRT7",1.79395969997892
"DMBT1",1.78747271211154
"TUBA1A",1.77968266346144
"AREG",1.76807451201385
"PTGS2",1.75257277125625
"LCN2",1.7421490428322
"B2M",1.73272842335324
"RGCC",1.72763718619223
"C1QC",1.72629350396439
"MX1",1.71844390923341
"NPC2",1.71682195946272
"CD83",1.71462500140335
"TUBB4B",1.71000875317207
"ID3",1.70443715667816
"DPCD",1.70424955156436
"CREM",1.6987847229175
"LGALS4",1.69599559948432
"EGR1",1.68592397523047
"CXCL17",1.6849003973483
"HLA-DPA1",1.67667343155668
"MDK",1.67274391380372
"RETN",1.67252413153783
"AARD",1.66447743791089
"SFTPD",1.65999438112839
"CYP4B1",1.65293596292883
"SFTPC",1.64595366675466
"IFT57",1.63899800927023
"ZFP36",1.63713177691658
"SLC2A3",1.63465019161882
"FOXJ1",1.63369726859732
"AIF1",1.62831967385891
"F3",1.62439649252486
"GEM",1.61542856117477
"DNAJB1",1.61087928690622
"S100A10",1.59273703214357
"NAPSA",1.59244247296746
"ATF3",1.58711129461015
"WFDC2",1.58693734245408
"DUSP6",1.58221465285766
"CLDN4",1.5788781936584
"PLAC8",1.56117286260354
"CTD-3252C9.4",1.5595908794042
"IK",1.5583302923932
"ODF2L",1.55769068406367
"TM4SF1",1.55498451658349
"KLF6",1.55443179861221
"CAV2",1.54287940962669
"HSPA1B",1.54238595602618
"C8orf4",1.53636935352316
"IFT27",1.53177246876692
"SOCS3",1.52185430015764
"SFN",1.50923625981875
"APOE",1.50265515330119
"C11orf96",1.50127228326494
"TIMP3",1.49957103593107
"LBH",1.49439871049531
"CD74",1.49296061253376
"THBS1",1.49158562244619
"COTL1",1.48938204867255
"LRRC23",1.48807556591669
"IFI44L",1.4807602729819
"SPAG16",1.47973808030714
"MESP1",1.47429441651921
"MARCO",1.47281116214721
"PHLDA1",1.47217967652817
"APOC1",1.47179460238576
"SLC6A14",1.47093043793467
"RGS2",1.45376707684127
"CYR61",1.44733216390379
"CALM1",1.44345513743579
"TUBA4A",1.44322286444072
"SGK1",1.44112565286462
"ODC1",1.44024888900165
"OSGIN2",1.43461186560523
"ZFP36L2",1.42668360181445
"NUDC",1.4244185717824
"PMAIP1",1.42419713030917
"HSPH1",1.42245462713637
"RCAN1",1.42152218714658
"DUSP5",1.42120492618343
"S100A9",1.41924893530268
"SLC27A3",1.41659029137914
"RPL13A",1.4124352799233
"KCNQ1OT1",1.41104106681641
"PHLDB2",1.40880344141801
"TACSTD2",1.4072198191104
"TNC",1.40684374976427
"CLDN18",1.40207319039915
"KLF2",1.40137251910231
"PLAUR",1.4000284695725
"PRDX5",1.39261642596322
"APOH",1.39116343327049
"MT1E",1.38759498249752
"ACTB",1.38692603821208
"ANXA3",1.38643535484646
"PLPP2",1.38118154420183
"ANXA2",1.38050980056908
"NR4A3",1.38034769553083
"AKR1C2",1.38012372999406
"ELF3",1.37316772624513
"SLC44A4",1.36834752352592
"RARRES3",1.36787211986431
"DNALI1",1.36733817530517
"EDN1",1.36536768412703
"TNFAIP3",1.36402616678253
"CMB9-22P13.1",1.36367699868661
"HES4",1.36363456610467
"FCER1G",1.36341501075473
"MT-ND2",1.36293841219089
"EFNA1",1.35970627072729
"FCGR2A",1.35856133596413
"C5orf45",1.3547483797708
"RHOB",1.3547204601239
"NUCB2",1.35393829521994
"GSN",1.35352600243818
"KLF4",1.35308078224303
"NR4A2",1.35251154550248
"YOD1",1.35092580296485
"IRF1",1.35077825430009
"CTSE",1.35051883983333
"H2AFZ",1.34725144006299
"RND3",1.34658108913252
"RAB11FIP1",1.34448947289498
"CD52",1.34253231441257
"PLAT",1.34237106478279
"C19orf33",1.33778127928062
"SRI",1.33745587486446
"CRLF1",1.33595803941802
"VEGFA",1.33579707689644
"MT-CO2",1.33575632108813
"DDIT3",1.32906440885887
