"","x"
"A1BG",318.834664370625
"A2M",40.0413799221836
"A4GALT",83.206941724111
"AACS",27.0777288836656
"AAED1",56.389920534637
"AAGAB",96.7287840423547
"AAK1",143.065713091077
"AAMDC",224.292970074229
"AAMP",266.743614636186
"AAR2",55.2335996764478
"AARSD1",25.7928520159846
"AASDH",120.403325486837
"AASDHPPT",58.0588077995705
"AATF",97.1121400258925
"AATK",18.5900482848731
"ABCA1",64.7009575897667
"ABCA2",42.4685699886547
"ABCA3",117.539911738973
"ABCA5",50.655502633891
"ABCA7",153.584055405404
"ABCB7",36.690323543068
"ABCB8",42.4518397226885
"ABCC1",29.5874448728946
"ABCC10",37.2642816001332
"ABCC3",78.2883976238934
"ABCC5",93.1891149827129
"ABCD3",136.374955636571
"ABCD4",96.9872361679535
"ABCE1",58.8522538336767
"ABCF1",230.336847133504
"ABCF2",32.6728420180002
"ABCF3",56.085890247382
"ABHD10",24.6674808705136
"ABHD11",162.200676092923
"ABHD11-AS1",211.129800289542
"ABHD12",377.31376324672
"ABHD13",23.282926703926
"ABHD14A",111.485908447761
"ABHD14B",126.786419358966
"ABHD15",61.2404202195019
"ABHD17A",118.969182478876
"ABHD17B",21.687805780289
"ABHD17C",68.1677176433377
"ABHD2",496.765097528412
"ABHD3",47.1705298034514
"ABHD4",30.5273786605267
"ABHD5",71.7835748849987
"ABHD8",23.8241245592433
"ABI1",264.364062522421
"ABI2",130.01148302728
"ABI3BP",31.4807217713745
"ABL1",30.0750957411981
"ABL2",141.168527199194
"ABLIM1",130.046215859052
"ABO",124.158556186482
"ABR",54.9947213644922
"ABRACL",250.308317286853
"ABT1",122.183709761005
"ABTB1",53.5311744518131
"AC004951.6",29.9779165561192
"AC007246.3",54.1147505615208
"AC007325.4",121.752739142212
"AC007405.6",60.0345804912519
"AC009005.2",45.4590385547134
"AC009133.12",12.3268871046716
"AC009403.2",33.9613875893963
"AC013461.1",34.8897330170401
"AC016549.1",58.916299898167
"AC074117.10",19.2877549132507
"AC090498.1",157.173495852237
"AC090616.2",10.8674675208101
"AC093323.3",37.7392253642625
"AC098973.2",30.7073066258481
"AC253572.1",36.15622266226
"ACAA1",142.017172809118
"ACAA2",71.1092052720271
"ACACA",69.0094436937189
"ACAD8",83.2565673445178
"ACAD9",43.7303606639415
"ACADM",38.9901170717092
"ACADS",26.6435062060568
"ACADSB",27.496703512594
"ACADVL",298.886961155435
"ACAP2",144.648798151349
"ACAP3",64.8905454954889
"ACAT1",49.3817649354477
"ACAT2",46.1822820359674
"ACBD3",221.680535353752
"ACBD4",30.9647189108303
"ACBD5",68.220444302447
"ACBD6",95.1813532721432
"ACER3",59.9288736022657
"ACIN1",147.684603092247
"ACKR2",42.7011724077985
"ACLY",213.258745564204
"ACO2",127.545964283732
"ACOT13",165.497081907998
"ACOT4",80.9136824331202
"ACOT7",50.3553861425266
"ACOT8",132.616676052177
"ACOT9",48.4809596267655
"ACOX1",292.83307747639
"ACP1",359.16883061648
"ACP2",79.8774529364652
"ACP5",146.263076635824
"ACSF2",162.137261613679
"ACSF3",22.0767831088112
"ACSL1",184.177341199225
"ACSL3",214.737633223448
"ACSL4",62.393386417833
